id,artista,numero,musica,genero
2871,Mateus e Cristiano,09874,SE É PRA FALAR DE AMOR,Sertanejo (dupla presumida)
2872,Matheus e Kauan,33628,A ROSA E O BEIJA FLOR,Sertanejo
2873,Matheus e Kauan,30280,ANTÍDOTO,Sertanejo
2874,Matheus e Kauan,30692,"CERVEJA, SAL E LIMÃO",Sertanejo
2875,Matheus e Kauan,33936,DECIDE AÍ,Sertanejo
2876,Matheus e Kauan,30520,INCERTEZA,Sertanejo
2877,Matheus e Kauan,30374,NESSAS HORAS,Sertanejo
2878,Matheus e Kauan,33819,O NOSSO SANTO BATEU,Sertanejo
2879,Matheus e Kauan,30383,OITAVA DOSE,Sertanejo
2880,Matheus e Kauan,33524,QUE SORTE A NOSSA,Sertanejo
2881,Matheus e Kauan,33302,SER HUMANO OU ANJO,Sertanejo
2882,Matheus e Kauan,30075,TE ASSUMI PRO BRASIL,Sertanejo
2883,Matheus e Kauan,30579,TÔ COM MORAL NO CÉU,Sertanejo
2884,Matheus e Kauan,31041,LITRÃO,Sertanejo
